First Name,Last Name,Email,Job Title,Seniorities,Departments,Company Name,Company Domain,Country,LinkedIn URL
Denise,Godreau,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Baha Mar,bahamar.com,bs,https://www.linkedin.com/in/denise-godreau-7534479a
Karina,Gudbergsen,,Økonomidirektør & Marketingchef,C-Level; Manager,Management; Marketing and Advertising,"Bb-hotels Aps, Store Torv",bbhotels.dk,dk,https://www.linkedin.com/in/karina-gudbergsen-314a1a134
Craig,McKie,,Co-founder & Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,Bell&swift,bellandswift.com,gb,https://www.linkedin.com/in/craig-mckie
Sofia,Melo,,Chief Marketing & Product Officer PA,C-Level,Business Support; Marketing and Advertising; Management,Bestday Mexico,bestday.com.mx,mx,https://www.linkedin.com/in/sofia-melo-18561451
Clint,Nagata,,Founder and Creative Partner,Founder; Partner,Founder/Owner; Marketing and Advertising,Blink Design Group Pte. Ltd.,blinkdg.com,th,https://www.linkedin.com/in/clint-nagata-91317119
Astrid,Prüger,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,B'mine Hotels,bmine.de,de,https://www.linkedin.com/in/astridprueger
Patrick,Zanello,,CMO (Directeur marketing & communication) BOAS GROUP & SWISSEVOLIFE,C-Level,Marketing and Advertising; Management,Boas Swiss Hotels,boas-swiss-hotels.ch,ch,https://www.linkedin.com/in/patrickzanello
Maxime,Demoitelle,,"Founding Partner, Marketing & Business Development",Founder; Partner,Founder/Owner; Marketing and Advertising,Bookvideo,bookvideo.mc,mc,https://www.linkedin.com/in/maxime-demoitelle-96b30720
Jeanette,Thottrup,,"Founder, Co-Owner & Creative Director",Founder; Director,Founder/Owner; Marketing and Advertising,Relais Borgo Santo Pietro Di Thottrup Claus E Thottrup Jeanette Gron S.a.s,borgosantopietro.com,it,https://www.linkedin.com/in/jeanette-thottrup-59a7b637
Nick,Lambert,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Boyne Usa, Inc.",boyneresorts.com,us,https://www.linkedin.com/in/nicklambert
Sinne,Fiil Fredslund,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Brøchner Hotels,brochner-hotels.com,dk,https://www.linkedin.com/in/sinnefiilfredslund
Tanja,Kartz Boisen,,CMO,C-Level,Management; Marketing and Advertising,Hotel Bramslevgaard,bramslevgaard.dk,dk,https://www.linkedin.com/in/tanja-kartz-boisen
Aditya,Naithani,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Brevistay Hospitality Pvt. Ltd.,brevistay.com,in,https://www.linkedin.com/in/aditya-21
Nick,Harvey,,Founder and Marketing Director,Founder; Director,Founder/Owner; Marketing and Advertising; Management,Restaurants Brighton,restaurantsbrighton.co.uk,gb,https://www.linkedin.com/in/nickharvey
Patrick,Norton,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Brittain Resorts &a; Hotels,brittainhospitality.com,us,https://www.linkedin.com/in/patrick-norton-mb
Javier,Malpartida C.,,Chief Design Officer & Marketing Strategist,C-Level,Marketing and Advertising; Design; Management,Bth Hotel Boutique Concept,bth.pe,pe,https://www.linkedin.com/in/jmalpartida
Mario,Herrera Pérez,,CMO,C-Level,Management; Marketing and Advertising,Byhours.com,byhours.com,es,https://www.linkedin.com/in/marioherrerap
Kate,Harth,,Chief Sales & Marketing Officer,C-Level,Sales; Management; Marketing and Advertising,"Cape Resorts, Incorporated",caperesorts.com,us,https://www.linkedin.com/in/kate-harth-70770053
Jason,Kycek,,SVP & Chief Marketing Officer ✦ Underperforming Asset Turnaround Specialist,VP; C-Level,Management; Marketing and Advertising,Casa De Campo Resort & Villas,casadecampo.com.do,do,https://www.linkedin.com/in/jason-kycek
Jenny,Martinez Blizard,,Founder & Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,Casa Xixim,casaxixim.com,us,https://www.linkedin.com/in/jennymartinezblizard
Ryan,Frohberg,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Pascua Yaqui Tribe Of Arizona,casinodelsol.com,us,https://www.linkedin.com/in/ryan-frohberg-77b81341
William,Koo,,Chief Marketing Strategist,C-Level,Management; Marketing and Advertising,Castle Resorts And Hotels,castleresorts.com,us,https://www.linkedin.com/in/william-koo-9a93022
Joel,Morales,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Castlerock Asset Management, Llc.",castlerockam.com,us,https://www.linkedin.com/in/joelmorales2
Nicola,Ariasi,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Centro Paolo Vi,paolovi.it,it,https://www.linkedin.com/in/nicola-ariasi
Frank,Crisafi,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Ceres Enterprises, Llc",ceresdevelopment.com,us,https://www.linkedin.com/in/frank-crisafi-1a6468266
Mukesh,Harsh,,CMO,C-Level,Management; Marketing and Advertising,My Transit Stay,chaturmusafir.com,in,https://www.linkedin.com/in/mukesh-harsh-42560ab7
Germán,March Payeras,,Cofundador & CMO,Founder; C-Level,Founder/Owner; Marketing and Advertising; Management,Civitfun Tourism Sl,civitfun.com,es,https://www.linkedin.com/in/germanmarch
Brad,Weber,,Chief Brand and Development Officer,C-Level,Management; Marketing and Advertising,The Colorado Chautauqua,chautauqua.com,us,https://www.linkedin.com/in/brad-weber-boulder
Giorgos,Tsiledakis,,Chief Marketing & Strategic Development Officer,C-Level,Management; Marketing and Advertising,Corissia Hotels & Resort,corissia.com,gr,https://www.linkedin.com/in/tsiledakis
Alejandra,von Knobloch,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Cortijo Fontanilla,cortijofontanilla.com,es,https://www.linkedin.com/in/alejandra-von-knobloch-963614154
Andrey,Novoshinskiy,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Vao Intourist,cosmosgroup.ru,ru,https://www.linkedin.com/in/novoshinskiy
Jake,Neill,,CMO,C-Level,Management; Marketing and Advertising,Credit Union Travel Club,credituniontravel.com,us,https://www.linkedin.com/in/jake-neill
Chris,Mulvihill,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Crystal Springs Resort (nj),crystalgolfresort.com,us,https://www.linkedin.com/in/chris-mulvihill-600b978
Léa,TUYAU,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Dadou Paris,dadou.paris,fr,https://www.linkedin.com/in/léa-tuyau-91432a143
Roma,O.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Dalata Hotel Group Plc,dalatahotelgroup.com,ie,https://www.linkedin.com/in/roma-o-6b10a149
Cyndi,Norwood,,Marketing Manager and Executive Asst. to the President & CEO and to the COO,C-Level; Manager,Operations; Marketing and Advertising; Management,Davidson Hotels &a; Resorts,davidsonhospitality.com,us,https://www.linkedin.com/in/cyndi-norwood-508b3b23
Isabelle,Falque,,Chief Marketing and Communications Officer,C-Level,PR and Communications; Management; Marketing and Advertising,D-edge Sas,d-edge.com,fr,https://www.linkedin.com/in/isabellefalque
Jean-Louis,Boss,,Chief Markting & Digital Services Ifficer,C-Level,Management; Marketing and Advertising; Business Support,D-edge Sas,d-edge.com,fr,https://www.linkedin.com/in/jean-louis-boss-7383a064
Véronique,CONSTANTINOFF,,"Founder of digital média ""Do It In Paris""",Founder,Founder/Owner; Marketing and Advertising,Do It In Paris,doitinparis.com,fr,https://www.linkedin.com/in/véronique-constantinoff
Tomas,Bäcklund,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Elite Hotels Of Sweden Ab,elite.se,se,https://www.linkedin.com/in/tomasibacklund
Kate,Branch,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Glenferrie Lodge Sydney,emeraldcityhotels.com,au,https://www.linkedin.com/in/katebranchcreative
Fred,Carvalho,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Samba Hotéis,sambahoteis.com,br,https://www.linkedin.com/in/carvalhofred
Ilsa,Butler,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Evans Hotels Corporation,evanshotels.com,us,https://www.linkedin.com/in/ilsabutler
Peter,Tihanyi,,Chief Creative Officer (CCO),C-Level,Management; Marketing and Advertising,Eventrend Group,eventrend.hu,hu,https://www.linkedin.com/in/petertihanyi
Ximena,Caminos,,Chief Creative Officer,C-Level,Management; Marketing and Advertising,Faena Hotel,faena.com,us,https://www.linkedin.com/in/ximenacaminos
Jaclyn,Currie,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Federal Group,federalgroup.com.au,au,https://www.linkedin.com/in/jaclyn-currie-1859a614
Cristina,Salmerón,,CMO,C-Level,Management; Marketing and Advertising,Fergus Group,fergusgroup.com,es,https://www.linkedin.com/in/cristina-salmeron-urbano
Pedro,Galmés López,,Director comercial & Marketing,C-Level,Marketing and Advertising; Management,Ferrer Hotels,ferrerhotels.com,es,https://www.linkedin.com/in/pedro-galmés-lópez-6462a929
Henrik,Ramstedt,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Hotel Twentyseven | Copenhagen, Denmark",firsthotels.com,se,https://www.linkedin.com/in/henrikram
Sorya,Ingrid Gaulin,,"Chief Marketing Officer, Fogo Island Inn & Shorefast",C-Level,Management; Marketing and Advertising,Fogo Island Inn,fogoislandinn.ca,ca,https://www.linkedin.com/in/soryagaulin
Janet,Christopher,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Columbia Hotel Management,columbiahospitality.com,us,https://www.linkedin.com/in/janetchristopher1
Michael,Cady,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Charlestowne Hotels, Inc.",charlestownehotels.com,us,https://www.linkedin.com/in/michaelrcady
alessandro,fedullo,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Galdieri Rent,galdierirent.it,it,https://www.linkedin.com/in/alessandro-fedullo-b4471144
Sandro,Battistessa,,"Chairman, Founder and Creative Director",Founder; Director; Board Member,Founder/Owner; Marketing and Advertising; Board,Genivs Loci Srl Società Benefit,genivs-loci.com,it,https://www.linkedin.com/in/sandro-battistessa-21549b8
Kerry,Flowers,,Marketing Guru & Founder,Founder,Founder/Owner; Marketing and Advertising,Genre Hotels,genrehotels.com,us,https://www.linkedin.com/in/kerry-flowers-1b08a722
Ángel,Tomás,,Director Comercial y Marketing,Director; C-Level,Marketing and Advertising; Management,Gf Hotels,gfhoteles.com,es,https://www.linkedin.com/in/ángel-tomás-9256158
Xerach,Cubas Santana,,Director Comercial & Marketing,C-Level,Marketing and Advertising; Management,Gloria Thalasso & Hotels,gloriapalaceth.com,es,https://www.linkedin.com/in/xerach-cubas-santana-6b919191
Adil,Asifi,,Chief - Marketing & Operations,C-Level,Operations; Management; Marketing and Advertising,Golden Metro Hotel,goldenmetrohotel.com,in,https://www.linkedin.com/in/adil-asifi-00038416
Kate,Maass,,Chief Creative Officer,C-Level,Management; Marketing and Advertising,"Grand Image, Ltd.",grandimage.com,us,https://www.linkedin.com/in/kate-maass-2b96b6243
Christopher,Abraham,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Grand Sierra Resort And Casino,grandsierraresort.com,us,https://www.linkedin.com/in/christopher-abraham-a38ab010
Yves,Luetolf,,Chief Marketing Officer (CMO) / Vizedirektor Graubünden Ferien,C-Level,Management; Marketing and Advertising,Graubünden Ferien - Grf,graubuenden.ch,ch,https://www.linkedin.com/in/yves-luetolf
Christopher,Kenny,,Chief Ecommerce Officer,C-Level,Management; Marketing and Advertising,Great National Hotels,greatnationalhotels.com,ie,https://www.linkedin.com/in/christopher-kenny-5a986026
Alexandros,V.,,Co-founder & CMO,Founder; C-Level,Founder/Owner; Marketing and Advertising; Management,Guestflip Ltd,guestflip.io,gr,https://www.linkedin.com/in/alexandros-v-069309b1
Stéphanie,THOMAS,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Villa Saxe Eiffel,villa-saxe-eiffel.com,fr,https://www.linkedin.com/in/stéphanie-thomas-4691bb17b
Natalia,Swarz,,"Founder, Creative Director",Founder; Director,Founder/Owner; Marketing and Advertising,Hôtel Weekend,hotel-weekend.com,es,https://www.linkedin.com/in/nataliaswarz
Ufuk,Secgin,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Halalbooking Ltd.,halalbooking.com,gb,https://www.linkedin.com/in/ufuksecgin
Hannah,Vazzana,,"Executive Vice President, Chief Brand and Communications Officer",VP; C-Level,Management; PR and Communications; Marketing and Advertising,Sunterra,hiltongrandvacations.com,us,https://www.linkedin.com/in/hannah-vazzana-6921535
Gail,Ueberroth,,Vice-Chairman/Chief Marketing Officer,VP; C-Level; Board Member,Management; Marketing and Advertising,Historic Hotels-america,historichotels.org,us,https://www.linkedin.com/in/gail-ueberroth-8184b227
Tawnya,Johnson,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Hotel Investment Services, Inc.",his-corp.com,us,https://www.linkedin.com/in/tawnya-johnson-86174b4
Kemper,Hyers,,Chief Creative Officer,C-Level,Management; Marketing and Advertising,Element 52,aubergeresorts.com,us,https://www.linkedin.com/in/kemper-hyers-85a5548
Michael,Minchin,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Element 52,aubergeresorts.com,us,https://www.linkedin.com/in/michael-minchin-02847412
Gaia,Miccichè,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Hotel Le Calette***** Cefalù,lecalette.it,it,https://www.linkedin.com/in/gaia-miccichè-001a394b
Anthony,Iskusnov,,CMO,C-Level,Management; Marketing and Advertising,Boutique Hôtel Panorama,hotelpanorama.ch,ru,https://www.linkedin.com/in/iskusnov
samar,sam,,chief marketing manager,C-Level,Management; Marketing and Advertising,Regenta Fairlark Vadodara,royalorchidhotels.com,in,https://www.linkedin.com/in/samar-sam-93a46989
Aurel,Longin,,Chief Sales Marketing Officer,C-Level,Management; Sales; Marketing and Advertising,Hotel Sliško,slisko.hr,hr,https://www.linkedin.com/in/aurel-longin-5370b910
Ryan,Parker,,Founder & Digital Director,Founder; Director,Founder/Owner; Marketing and Advertising,Placeworks Co.ltd,placeworks.co.th,th,https://www.linkedin.com/in/parkersol
Gaston,Siles,,DIRECTOR COMERCIAL / CHIEF COMMERCIAL OFFICER AND MARKETING / CCO,C-Level,Management; Marketing and Advertising,Hoteles Misión,hotelesmision.com.mx,pe,https://www.linkedin.com/in/gaston-siles-97866823
Jenny,Shymon,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Hotelfriend Ag,hotelfriend.com,de,https://www.linkedin.com/in/jenny-shymon-135443138
András,Dombai,,Co-Founder - Online marketing startup,Founder,Founder/Owner; Marketing and Advertising,Online Marketing Strategy Ltd.,hotelhood.com,hu,https://www.linkedin.com/in/andrasdombai
Tomeu,Fiol Obrador,,CMO,C-Level,Management; Marketing and Advertising,Hotelinking S.l.,hotelinking.com,es,https://www.linkedin.com/in/tomeufiol
Tamer,Beler,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Hotelistan Turizm Otelcilik Bilgi Islem Ve Ticaret Ltd. Sti.,hotelistan.com,tr,https://www.linkedin.com/in/tamerbeler-digital-marketing
María,Bilbao Machimbarrena,,CMO,C-Level,Management; Marketing and Advertising,"Hotelverse Technologies, S.l.",hotelverse.tech,es,https://www.linkedin.com/in/maríabilbaomachimbarrena
Bastien,Ribeiro,,Founder & Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,Howard Studio,howardstudio.fr,fr,https://www.linkedin.com/in/bastien-ribeiro
Janet,"Ott, Chief Marketing Officer and Strategy Leader, HVS",,Chief Marketing Officer & Strategy Leader,C-Level,Management; Marketing and Advertising,Hvs International,hvs.com,us,https://www.linkedin.com/in/janetmott
PAVAN,PARDASANI,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Tao Group,hakkasangroup.com,us,https://www.linkedin.com/in/pavan-pardasani-8b80609a
Andrew,Sesay,,Founders Associate / Head of Marketing,Founder; Head,Founder/Owner; Marketing and Advertising,Juststay Hotels,juststay.de,es,https://www.linkedin.com/in/andrew-sesay-368a751ab
Jose,Eduardo Barra Rodriguez,,Chef Creativo,C-Level,Marketing and Advertising,Karisma Hotels And Resorts,karismahotels.com,mx,https://www.linkedin.com/in/jose-eduardo-barra-rodriguez-27a66a1b9
Roberto,Martinelli,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,La Bottega S.p.a.,labottega.com,it,https://www.linkedin.com/in/roberto-martinelli-9479522b
Nuria,Roca Barbé,,CEO & Creative Director,Director; C-Level,Marketing and Advertising; Management,La Garriga De Castelladral,masialagarriga.com,es,https://www.linkedin.com/in/nuria-roca-barbé-18391b91
Jessica,Djivikian,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Lartisien Sarl,lartisien.com,fr,https://www.linkedin.com/in/jessica-djivikian-a8049b88
Nick,Cosinteno,,CEO & CMO,C-Level,Management; Marketing and Advertising,Live Luxe Travel,liveluxetravel.com,us,https://www.linkedin.com/in/nick-cosinteno
David,De los Santos,,Chief Sales & Marketing Officer,C-Level,Sales; Management; Marketing and Advertising,Lomas Travel Agencies,lomastravel.com,mx,https://www.linkedin.com/in/davidloudelossantosortega
Scott,Watson,,Chief Sales & Marketing Officer,C-Level,Sales; Management; Marketing and Advertising,"M3 Accounting Services, Inc.",m3as.com,us,https://www.linkedin.com/in/1scottwatson
Hana,Tsukamoto,,Co-Founder / Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,Maana Homes,maanahomes.com,jp,https://www.linkedin.com/in/hanatsukamoto
Antonio,Balaguer Montaner,,"Chief Marketing, Communications and E-Commerce Officer",C-Level,PR and Communications; Management; Marketing and Advertising,Marsenses Hotels &a; Homes,marsenses.com,es,https://www.linkedin.com/in/antoniobalaguermontaner
Simon,Scoot,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Maybourne Hotel Group,maybourne.com,gb,https://www.linkedin.com/in/simonscoot
Dogan,Murat 馬榮 Ergin,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Merit International Hotels & Resorts,merithotels.com,tr,https://www.linkedin.com/in/doganmuratergin
Valerie,"Guilmette, MBA",,Chief Marketing Officer Saint-Damase Group | Vice President Humble Nature,C-Level,Management; Marketing and Advertising,St-damase,st-damase.com,ca,https://www.linkedin.com/in/valerie-guilmette-mba-19862217
Giancarlo,Avila,,CMO,C-Level,Management; Marketing and Advertising,Mjl Select Inc,mjlselect.com,us,https://www.linkedin.com/in/giancarlo-avila-982a3818a
Igors,Porohs,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Mogotel Hotel Group,mogotel.com,lv,https://www.linkedin.com/in/igors-porohs-62404b191
Ken,Marold,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Monscierge, Llc",monscierge.com,us,https://www.linkedin.com/in/ken-marold-88013336
Jason,Smith,,Founder ● Creating Brand Awareness ● Digital Strategies ● Rebranding ● Product Development ● Web Dev,Founder,Founder/Owner; Marketing and Advertising,Smith Global Ltd.,mrandmrssmith.com,us,https://www.linkedin.com/in/digitalmarketing2
Mary,Shick,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Muckleshoot Indian Casino,muckleshootcasino.com,us,https://www.linkedin.com/in/mary-shick
Joelle,Park,,"Senior Vice President, Chief Marketing Officer",VP; C-Level,Management; Marketing and Advertising,"Best Western International, Inc.",bestwestern.com,us,https://www.linkedin.com/in/joellelynnpark
Layo,Paskin,,Co-Founder & Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,The Barbary Next Door,thebarbarynextdoor.co.uk,gb,https://www.linkedin.com/in/layo-paskin-70b676241
Zoe,Mouchritsa,,Chief Marketing Officer (CMO),C-Level,Management; Marketing and Advertising,Nelioscom,nelios.com,gr,https://www.linkedin.com/in/zoemouchritsa
Gala,G.,,Chief Marketing Officer (CMO),C-Level,Management; Marketing and Advertising,Neptuno Hotel & Spa ****s,hotelneptuno.com,es,https://www.linkedin.com/in/gala-g-202790161
Scott,Williams,,Chief Development & Brand Officer,C-Level,Management; Marketing and Advertising,Main Street Hospitality Group,mainstreethospitalitygroup.com,us,https://www.linkedin.com/in/scottswilliams
David,Jorden,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Newport World Resorts,newportworldresorts.com,ph,https://www.linkedin.com/in/davidjorden
Acme,Wu,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Niseko Tourism,nisekotourism.com,us,https://www.linkedin.com/in/acme-wu-213aab80
Scott,Colee,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Noble House Hotels &a; Resorts,noblehousehotels.com,us,https://www.linkedin.com/in/scott-colee-8bb42b60
Monica,Mascaros,,Co-Founder and Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,Nomad Hospitality Group,nomadhotelcollection.com,ae,https://www.linkedin.com/in/monica-mascaros-7b765aa
Kelly,Burke,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Ocean Resort Casino,theoceanac.com,us,https://www.linkedin.com/in/kelly-burke-72385b17
Matteo,Toresani,,Brand Manager e CFO,C-Level; Manager,Management; Marketing and Advertising,Olympic Spa Hotel,olympicspahotel.it,it,https://www.linkedin.com/in/matteotoresani
François,Mare,,Chief Marketing & Digital Officer,C-Level,Management; Marketing and Advertising,Onefinestay,onefinestay.com,fr,https://www.linkedin.com/in/francoismare
Christian,Knapp,,Vice President // Chief Marketing Officer,VP; C-Level,Management; Marketing and Advertising,"Pacific Group Resorts, Inc.",pgri.us,us,https://www.linkedin.com/in/christianknapp
NINA,BERCHE ☀️,,Co-fondatrice & Responsable Marketing Digital / Communication,Founder,Founder/Owner; Marketing and Advertising; PR and Communications,Palmito Biarritz,palmito-biarritz.com,fr,https://www.linkedin.com/in/nina-berche-☀️-b187b69a
Cinn,Tan,,Chief Commercial & Marketing Officer,C-Level,Management; Marketing and Advertising,Pan Pacific Hotels Group Limited,panpacific.com,sg,https://www.linkedin.com/in/cinn
Mehmet,Kaplan,,Entertainment Chief,C-Level,Management; Marketing and Advertising,Papillon Hotels,papillon.com.tr,tr,https://www.linkedin.com/in/mehmetkaplan1
Rafael,Sandoval Garcia,,Director Comercial & Marketing,C-Level,Marketing and Advertising; Management,Park Royal Hotels & Resorts,park-royalhotels.com,mx,https://www.linkedin.com/in/rafael-sandoval-garcia-a36336142
Bill,Anderson,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Pechanga Resort Casino Ltd,pechanga.com,us,https://www.linkedin.com/in/bill-anderson-a0877a210
Marie,Louise Scio,,CEO & Creative Director-Pellicano Hotels,Director; C-Level,Marketing and Advertising; Management,Pellicano Hotels,pellicanohotels.com,it,https://www.linkedin.com/in/marie-louise-scio-014b3847
Jessie,"Radcliff, CRME, CHDM",,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Perdido Beach Resort,perdidobeachresort.com,us,https://www.linkedin.com/in/jessie-radcliff-
Juan,Ma González,,"Chief Commercial, Revenue & Marketing Officer (CCO-CRO-CMO)",C-Level,Management; Marketing and Advertising,Portblue Hotels &a; Resorts,portbluehotels.com,es,https://www.linkedin.com/in/juan-ma-gonzález-cco
Alexx,Zawada,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Potawatomi Hotel And Casino,paysbig.com,us,https://www.linkedin.com/in/alexx-zawada-21273aa9
Mitchel,van Gool,,Chief Marketing & Sales Officer,C-Level,Sales; Management; Marketing and Advertising,Prestige Vacations Aruba,prestigerealtyaruba.com,nl,https://www.linkedin.com/in/mitchel-van-gool-a2509878
